degrees,minutes,hemisphere,Genus,Species,parameter_value,parameter_(tmax_or_tmin),error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate_°Cmin-1,duration_of_chronic_exposure,pretreatment_temp_°C,pretreatment_duration,temp_before_pretreament_(held_or_FF_for_field_fresh),timing_of_collection,long_of_collection,elevation_of_collection_(ft),location_description,REF,life_stage,Phylum,Class,Order,Family,Realm_specific,Realm_general,Notes
39,,southern,Limnodynastes,dorsalis,35,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Wilson's_prom_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
39,,southern,Limnodynastes,dorsalis,37,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Wilson's_prom_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Limnodynastes,peroni,32.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Limnodynastes,peroni,34.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Summer,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
18,,southern,Limnodynastes,peroni,30.6,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
18,,southern,Limnodynastes,peroni,34.1,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
18,,southern,Limnodynastes,peroni,36.3,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Tully_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,tasmaniensis,29.8,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,tasmaniensis,33.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,tasmaniensis,33.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Limnodynastes,tasmaniensis,35,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Limnodynastes,tasmaniensis,34,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Limnodynastes,tasmaniensis,35.1,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
38,,southern,Limnodynastes,tasmaniensis,34.9,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,1000,Grampians_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
38,,southern,Limnodynastes,tasmaniensis,36.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,1000,Grampians_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
21,,southern,Cyclorana,brevipes,40,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,30,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
21,,southern,Cyclorana,brevipes,40.5,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,30,NA,NA,Summer,NA,1000,Bowen_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
20,,southern,Cyclorana,brevipes,31.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Summer,NA,1000,Townsville_Queensland_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Pseudophryne,bibroni,34.8,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
31,,southern,Pseudophryne,bibroni,35.4,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,2500-4500,Armidale_NSW_Autralia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Pseudophryne,bibroni,30.5,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Pseudophryne,bibroni,33.9,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Pseudophryne,bibroni,36.2,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,25,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
34,,southern,Pseudophryne,bibroni,38.2,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,25,NA,NA,Spring,NA,1000,Gosford_NSW_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Pseudophryne,bibroni,32.4,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,5,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Pseudophryne,bibroni,35.2,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,5,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Pseudophryne,bibroni,33.7,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,10,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Pseudophryne,bibroni,35.6,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,10,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Pseudophryne,bibroni,35,tmax,NA,NA,NA,critical,Loss_righting_reflex,1,NA,20,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
37,,southern,Pseudophryne,bibroni,37.2,tmax,NA,NA,NA,critical,Onset_of_spasms_(OS),1,NA,20,NA,NA,Winter,NA,1000,Warrenbayne_Victoria_Australia,Brattstrom_1970,NA,Chordata,Amphibia,Anura,Hylidae,NA,Terrestrial/aquatic,NA
NA,NA,southern,Lanius,collaris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soobramoney_et_al_2003,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,southern,Spalacopus,cyanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,southern,Acomys,Russatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,southern,Tamias,minimus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,southern,Cyclopes,didactylus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,southern,Zoarces,viviparus,25.7,tmax,1.2,SD,7,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Each group (Baltic Sea vs North Sea) was measured for 5 days for both LE and OS respones. This line is time of measurement 0h
NA,NA,southern,Zoarces,viviparus,27.1,tmax,1,SD,6,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 24h
NA,NA,southern,Zoarces,viviparus,27.2,tmax,0.5,SD,4,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 48h
NA,NA,southern,Zoarces,viviparus,27.4,tmax,0.5,SD,6,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 72h
NA,NA,southern,Zoarces,viviparus,27,tmax,0.9,SD,5,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 96h
NA,NA,southern,Zoarces,viviparus,28,tmax,1,SD,7,critical,Onset_of_spasms_(OS),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 0h
NA,NA,southern,Zoarces,viviparus,29.1,tmax,0.6,SD,6,critical,Onset_of_spasms_(OS),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 24h
NA,NA,southern,Zoarces,viviparus,28.8,tmax,0.9,SD,6,critical,Onset_of_spasms_(OS),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 48h
NA,NA,southern,Zoarces,viviparus,28.8,tmax,0.8,SD,6,critical,Onset_of_spasms_(OS),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 72h
NA,NA,southern,Zoarces,viviparus,28.6,tmax,1.1,SD,6,critical,Onset_of_spasms_(OS),1,NA,12,4w,NA,NA,NA,NA,Baltic_Sea_Kiel_Bight_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 96h
NA,NA,southern,Zoarces,viviparus,27.1,tmax,0.9,SD,5,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 0h
NA,NA,southern,Zoarces,viviparus,26.4,tmax,0.2,SD,2,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 24h
NA,NA,southern,Zoarces,viviparus,25.4,tmax,0.8,SD,3,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 48h
NA,NA,southern,Zoarces,viviparus,26.3,tmax,1.5,SD,4,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 72h
NA,NA,southern,Zoarces,viviparus,27.5,tmax,0.6,SD,3,critical,Loss_of_equilibrium_(LE),1,NA,12,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 96h
NA,NA,southern,Zoarces,viviparus,29.1,tmax,0.2,SD,5,critical,Onset_of_spasms_(OS),1,NA,13,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 0h
NA,NA,southern,Zoarces,viviparus,28.8,tmax,1.1,SD,5,critical,Onset_of_spasms_(OS),1,NA,14,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 24h
NA,NA,southern,Zoarces,viviparus,284,tmax,1.1,SD,4,critical,Onset_of_spasms_(OS),1,NA,15,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 48h
NA,NA,southern,Zoarces,viviparus,28.5,tmax,1.4,SD,4,critical,Onset_of_spasms_(OS),1,NA,16,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 72h
NA,NA,southern,Zoarces,viviparus,29.1,tmax,0.5,SD,4,critical,Onset_of_spasms_(OS),1,NA,17,4w,NA,NA,NA,NA,North_Sea_Island_Helgoland_Germany,Zakhartsev_et_al_2003,NA,Chordata,Actinopteri,Perciformes,Zoarcidae,Marine,Aquatic,Time of measurement 96h
49,,northern,Dumontia,contorta,26,tmax,NA,NA,>100,lethal,Temperature_at_100%_mortality,NA,82d,NA,NA,12,Summer,NA,NA,Chenal_d'ile_Verte_Roscoff_Brittany_France,Rietema_&_Breeman_1982,Microthalli,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Marine,Aquatic,"The article was saying that they died gradually, but with no precision about the duration"
54,,northern,Dumontia,contorta,26,tmax,NA,NA,>100,lethal,Temperature_at_100%_mortality,NA,82d,NA,NA,12,Summer,NA,NA,Isle_of_Man_Port_St.Mary_UK,Rietema_&_Breeman_1983,Microthalli,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Marine,Aquatic,"The article was saying that they died gradually, but with no precision about the duration"
51,05,northern,Dumontia,contorta,26,tmax,NA,NA,>100,lethal,Temperature_at_100%_mortality,NA,82d,NA,NA,12,Spring,NA,NA,Lake_Grevelingen_Zeeland_SW_Netherlands,Rietema_&_Breeman_1984,Microthalli,Rhodophyta,Florideophyceae,Gigartinales,Dumontiaceae,Marine,Aquatic,"The article was saying that they died gradually, but with no precision about the duration"
NA,NA,southern,Dipsosaurus,dorsalis,47.5,tmax,NA,NA,6,critical,Loss_righting_reflex,NA,NA,NA,NA,NA,NA,NA,NA,Indian_Wells_Colorado_Desert,Cowles_&_Bogert_1944,Adults,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,Terrestrial,Cloacal temperature
NA,NA,southern,Dipsosaurus,dorsalis,47,tmax,NA,NA,6,critical,Loss_righting_reflex,NA,NA,NA,NA,NA,NA,NA,NA,Saltdale_Mojave_Desert,Cowles_&_Bogert_1944,Adults,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,Terrestrial,Cloacal temperature
34,09,northern,Dipsosaurus,dorsalis,13.8,tmin,1.2,SD,12,critical,Loss_righting_reflex,1,NA,15-65,NA,25-65,Summer,116°03'W,NA,Twentynine_Palms_California,Simandle_et_al_2001,Adults,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,Terrestrial,Diet with saturated fat. CTMin was recorded as the temperature at which the lizard could no longer right itself after 30 sec
34,09,northern,Dipsosaurus,dorsalis,14.2,tmin,1,SD,14,critical,Loss_righting_reflex,1,NA,15-66,NA,25-66,Summer,116°03'W,NA,Twentynine_Palms_California,Simandle_et_al_2001,Adults,Chordata,Lepidosauria,Squamata,Iguanidae,Desert,Terrestrial,Diet with unsaturated fat. CTMin was recorded as the temperature at which the lizard could no longer right itself after 30 sec
49,,northern,Desmarestia,aculeata,22.4,tmax,NA,NA,NA,lethal,Temperature_at_50%_survival,NA,2w,15,4w,10,NA,125°W,NA,Western_Canada,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,NA
49,,northern,Desmarestia,aculeata,21.8,tmax,NA,NA,NA,lethal,Temperature_at_50%_survival,NA,2w,15,4w,10,NA,125°W,NA,Western_Canada,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,NA
54,09,northern,Desmarestia,aculeata,22.6,tmax,NA,NA,NA,lethal,Temperature_at_50%_survival,NA,2w,15,4w,10,NA,07°52'E,NA,Helgoland_Germany,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,NA
54,09,northern,Desmarestia,aculeata,24.5,tmax,NA,NA,NA,lethal,Temperature_at_50%_survival,NA,2w,15,4w,10,NA,07°52'E,NA,Helgoland_Germany,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,NA
47,19,northern,Desmarestia,viridis,26.4,tmax,NA,NA,NA,lethal,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,52°50'W,NA,Newfoundland_Canada,Peters_&_Breeman_1992,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,NA
48,40,northern,Desmarestia,viridis,26.4,tmax,NA,NA,NA,lethal,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,04°12'W,NA,Brittany_France,Peters_&_Breeman_1993,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,NA
54,09,northern,Desmarestia,viridis,26.7,tmax,NA,NA,NA,lethal,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,07°52'E,NA,Helgoland_Germany,Peters_&_Breeman_1994,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,NA
42,21,northern,Desmarestia,viridis,27.2,tmax,NA,NA,NA,lethal,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,140°59'E,NA,Hokkaido_Japan,Peters_&_Breeman_1995,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,NA
42,21,northern,Desmarestia,viridis,27.4,tmax,NA,NA,NA,lethal,Temperature_at_50%_survival,NA,2w,20,4w,10,NA,140°59'E,NA,Hokkaido_Japan,Peters_&_Breeman_1996,Gametophyte,Phaeophyceae,Phaeophyceae,Desmarestiales,Desmarestiaceae,Marine,Aquatic,NA
NA,NA,southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
