db,query,class
itis,Pacifastacus leniusculus,Malacostraca
ncbi,Pacifastacus leniusculus,Malacostraca
itis,Callorhinus ursinus,Mammalia
ncbi,Callorhinus ursinus,Mammalia
itis,Fundulus parvipinnis,Teleostei
ncbi,Fundulus parvipinnis,Actinopteri
itis,Salmo salar,Teleostei
ncbi,Salmo salar,Actinopteri
itis,Gasterosteus aculeatus,Teleostei
ncbi,Gasterosteus aculeatus,Actinopteri
itis,Oncorhynchus clarkii,Teleostei
ncbi,Oncorhynchus clarkii,Actinopteri
itis,Gila bicolor_mohavensis,NA
ncbi,Gila bicolor_mohavensis,Actinopteri
itis,Cyprinodon sp.1,NA
ncbi,Cyprinodon sp.1,NA
itis,Cottus cognatus,Teleostei
ncbi,Cottus cognatus,Actinopteri
itis,Alosa pseudoharengus,Teleostei
ncbi,Alosa pseudoharengus,Actinopteri
itis,Myrmecocystus mimicus,Insecta
ncbi,Myrmecocystus mimicus,Insecta
itis,Myrmecocystus romainei,Insecta
ncbi,Myrmecocystus romainei,Insecta
itis,Myrmecocystus depilis,Insecta
ncbi,Myrmecocystus depilis,Insecta
itis,Drosophila angularis,NA
ncbi,Drosophila angularis,Insecta
itis,Drosophila auraria,NA
ncbi,Drosophila auraria,Insecta
itis,Drosophila biauraria,NA
ncbi,Drosophila biauraria,Insecta
itis,Drosophila bipectinata,NA
ncbi,Drosophila bipectinata,Insecta
itis,Drosophila bizonata,Insecta
ncbi,Drosophila bizonata,Insecta
itis,Drosophila bocki,NA
ncbi,Drosophila bocki,Insecta
itis,Drosophila brachynephros,NA
ncbi,Drosophila brachynephros,Insecta
itis,Drosophila curvispina,NA
ncbi,Drosophila curvispina,Insecta
itis,Drosophila daruma,NA
ncbi,Drosophila daruma,Insecta
itis,Drosophila elegans,NA
ncbi,Drosophila elegans,Insecta
itis,Drosophila ficusphila,NA
ncbi,Drosophila ficusphila,Insecta
itis,Drosophila kanekoi,NA
ncbi,Drosophila kanekoi,Insecta
itis,Drosophila lacertosa,NA
ncbi,Drosophila lacertosa,Insecta
itis,Drosophila lacteicornis,NA
ncbi,Drosophila lacteicornis,Insecta
itis,Drosophila lutescens,NA
ncbi,Drosophila lutescens,Insecta
itis,Drosophila nigromaculata,NA
ncbi,Drosophila nigromaculata,Insecta
itis,Drosophila orientacea,NA
ncbi,Drosophila orientacea,Insecta
itis,Drosophila quadrilineata,NA
ncbi,Drosophila quadrilineata,Insecta
itis,Drosophila ruberrima,NA
ncbi,Drosophila ruberrima,Insecta
itis,Drosophila rufa,NA
ncbi,Drosophila rufa,Insecta
itis,Drosophila sternopleuralis,NA
ncbi,Drosophila sternopleuralis,Insecta
itis,Drosophila suzukii,NA
ncbi,Drosophila suzukii,Insecta
itis,Drosophila takahashii,NA
ncbi,Drosophila takahashii,Insecta
itis,Drosophila unispina,NA
ncbi,Drosophila unispina,Insecta
itis,Hirtodrosophila histrioides,NA
ncbi,Hirtodrosophila histrioides,Insecta
itis,Scaptodrosophila bryani,NA
ncbi,Scaptodrosophila bryani,Insecta
itis,Scaptodrosophila coracina,NA
ncbi,Scaptodrosophila coracina,Insecta
itis,Scaptodrosophila dorsocentralis,NA
ncbi,Scaptodrosophila dorsocentralis,Insecta
itis,Scaptomyza pallida,Insecta
ncbi,Scaptomyza pallida,Insecta
itis,Gonocephalum simplex,NA
ncbi,Gonocephalum simplex,NA
itis,Impatiens parviflora,Magnoliopsida
ncbi,Impatiens parviflora,NA
itis,Ligustrum vulgare,Magnoliopsida
ncbi,Ligustrum vulgare,NA
itis,Nerium oleander,Magnoliopsida
ncbi,Nerium oleander,NA
itis,Phoenix canariensis,Magnoliopsida
ncbi,Phoenix canariensis,Liliopsida
itis,Sorbus toctminlis,NA
ncbi,Sorbus toctminlis,NA
itis,Teucrium chamaedrys,Magnoliopsida
ncbi,Teucrium chamaedrys,NA
itis,Vinca minor,Magnoliopsida
ncbi,Vinca minor,NA
itis,Vitis vinifera,Magnoliopsida
ncbi,Vitis vinifera,NA
itis,Ulvaria oxysperma,Ulvophyceae
ncbi,Ulvaria oxysperma,NA
itis,Gayralia sp.1,NA
ncbi,Gayralia sp.1,NA
itis,Clupea herengus,NA
ncbi,Clupea herengus,NA
itis,Gillichthys mirabilis,Teleostei
ncbi,Gillichthys mirabilis,Actinopteri
itis,Dasya baillouviana,Florideophyceae
ncbi,Dasya baillouviana,Florideophyceae
itis,Sceloporus jarrovi,Reptilia
ncbi,Sceloporus jarrovi,NA
itis,Antarctopsocus jeanneli,NA
ncbi,Antarctopsocus jeanneli,NA
itis,Halmaeusa atriceps,NA
ncbi,Halmaeusa atriceps,Insecta
itis,Chirodica chalcoptera,NA
ncbi,Chirodica chalcoptera,NA
itis,Glossina pallidipes,NA
ncbi,Glossina pallidipes,Insecta
itis,Messor capitatus,Insecta
ncbi,Messor capitatus,Insecta
itis,Pheidole pallldula,NA
ncbi,Pheidole pallldula,NA
itis,Plagiolepis pygmaea,Insecta
ncbi,Plagiolepis pygmaea,Insecta
itis,Tetramorium nigerrimum,NA
ncbi,Tetramorium nigerrimum,NA
itis,Tetramorium semilaeve,Insecta
ncbi,Tetramorium semilaeve,Insecta
itis,Podacarus auberti,Arachnida
ncbi,Podacarus auberti,Arachnida
itis,Halozetes belgicae,Arachnida
ncbi,Halozetes belgicae,Arachnida
itis,Halozetes fulvus,Arachnida
ncbi,Halozetes fulvus,Arachnida
itis,Halozetes marinus,Arachnida
ncbi,Halozetes marinus,Arachnida
itis,Halozetes marionensis,Arachnida
ncbi,Halozetes marionensis,Arachnida
itis,Plethodon glutinosus,Amphibia
ncbi,Plethodon glutinosus,Amphibia
itis,Dasyatis sabina,Chondrichthyes
ncbi,Dasyatis sabina,Chondrichthyes
itis,Rana virgatipes,NA
ncbi,Rana virgatipes,Amphibia
itis,Ambystoma macrodactylum,Amphibia
ncbi,Ambystoma macrodactylum,Amphibia
itis,Litoria gracilenta,Amphibia
ncbi,Litoria gracilenta,Amphibia
itis,Myro kerguelenensis,Arachnida
ncbi,Myro kerguelenensis,NA
itis,Prinerigone vagans,Arachnida
ncbi,Prinerigone vagans,NA
itis,Linepithema humile,Insecta
ncbi,Linepithema humile,Insecta
itis,Myrmecocystus mexican,Insecta
ncbi,Myrmecocystus mexican,NA
itis,Mya arenaria,Bivalvia
ncbi,Mya arenaria,Bivalvia
itis,Gemma gemma,Bivalvia
ncbi,Gemma gemma,Bivalvia
itis,Mulinia lateralis,Bivalvia
ncbi,Mulinia lateralis,Bivalvia
itis,Desmognathus fuscus,Amphibia
ncbi,Desmognathus fuscus,Amphibia
itis,Eurycea bislineata,Amphibia
ncbi,Eurycea bislineata,Amphibia
itis,Hyla labialis,NA
ncbi,Hyla labialis,Amphibia
itis,Lithobates sylvatica,NA
ncbi,Lithobates sylvatica,Amphibia
itis,Atrichum undulatum,Polytrichopsida
ncbi,Atrichum undulatum,Polytrichopsida
itis,Pseudacris triseriata,Amphibia
ncbi,Pseudacris triseriata,Amphibia
itis,Anguilla dieffenbachii,Teleostei
ncbi,Anguilla dieffenbachii,Actinopteri
itis,Galaxias fasciatus,Teleostei
ncbi,Galaxias fasciatus,Actinopteri
itis,Cheimarrichthys fosteri,Teleostei
ncbi,Cheimarrichthys fosteri,Actinopteri
itis,Galaxias maculatus,Teleostei
ncbi,Galaxias maculatus,Actinopteri
itis,Retropinna retropinna,Teleostei
ncbi,Retropinna retropinna,Actinopteri
itis,Eurycea longicauda,Amphibia
ncbi,Eurycea longicauda,Amphibia
itis,Eurycea lucifuga,Amphibia
ncbi,Eurycea lucifuga,Amphibia
itis,Ambystoma maculatum,Amphibia
ncbi,Ambystoma maculatum,Amphibia
itis,Eurycea multiplicata,Amphibia
ncbi,Eurycea multiplicata,Amphibia
itis,Isotoma klovstadi,NA
ncbi,Isotoma klovstadi,Collembola
itis,Cryptopygus cisantarcticus,Collembola
ncbi,Cryptopygus cisantarcticus,Collembola
itis,Friesea grisea,NA
ncbi,Friesea grisea,Collembola
itis,Etheostoma cragini,Teleostei
ncbi,Etheostoma cragini,Actinopteri
itis,Pogonichthys macrolepidotus,Teleostei
ncbi,Pogonichthys macrolepidotus,Actinopteri
itis,Paa spinosa,NA
ncbi,Paa spinosa,Amphibia
itis,Poeciliopsis monacha,Teleostei
ncbi,Poeciliopsis monacha,Actinopteri
itis,Poeciliopsis monacha_lucida,NA
ncbi,Poeciliopsis monacha_lucida,NA
itis,Lacerta agilis,NA
ncbi,Lacerta agilis,NA
itis,Poeciliopsis monacha_occidentalis,NA
ncbi,Poeciliopsis monacha_occidentalis,NA
itis,Dipsosaurus dorsalis,Reptilia
ncbi,Dipsosaurus dorsalis,NA
itis,Zoarces viviparus,Teleostei
ncbi,Zoarces viviparus,Actinopteri
itis,Desmarestia viridis,Phaeophyceae
ncbi,Desmarestia viridis,Phaeophyceae
itis,Celmisia haastii,NA
ncbi,Celmisia haastii,NA
itis,Anisotome imbricata,NA
ncbi,Anisotome imbricata,NA
itis,Dracophyllum muscoides,NA
ncbi,Dracophyllum muscoides,NA
itis,Celmisia viscosa,NA
ncbi,Celmisia viscosa,NA
itis,Hectorella caespitosa,NA
ncbi,Hectorella caespitosa,NA
itis,Poa colensoi,NA
ncbi,Poa colensoi,Liliopsida
itis,Lagopus mutus hyperboreus,NA
ncbi,Lagopus mutus hyperboreus,NA
itis,Dumontia contorta,NA
ncbi,Dumontia contorta,Florideophyceae
itis,Lagopus lagopus,Aves
ncbi,Lagopus lagopus,Aves
itis,Lagopus mutus,NA
ncbi,Lagopus mutus,Aves
itis,Sphaerotrichia divaricata,Phaeophyceae
ncbi,Sphaerotrichia divaricata,Phaeophyceae
itis,Desmarestia aculeata,Phaeophyceae
ncbi,Desmarestia aculeata,Phaeophyceae
itis,Dictyosiphon foeniculaceus,Phaeophyceae
ncbi,Dictyosiphon foeniculaceus,Phaeophyceae
itis,Bufo boreas,NA
ncbi,Bufo boreas,Amphibia
itis,Silene acaulis,Magnoliopsida
ncbi,Silene acaulis,NA
itis,Rana pipiens,NA
ncbi,Rana pipiens,Amphibia
itis,Eriogonum latifolium,Magnoliopsida
ncbi,Eriogonum latifolium,NA
itis,Eriogonum fasciculatum,Magnoliopsida
ncbi,Eriogonum fasciculatum,NA
itis,Atriplex hymenelytra,Magnoliopsida
ncbi,Atriplex hymenelytra,NA
itis,Baccharis pilularis,Magnoliopsida
ncbi,Baccharis pilularis,NA
itis,Atriplex leucophylla,Magnoliopsida
ncbi,Atriplex leucophylla,NA
itis,Encella farinosa,NA
ncbi,Encella farinosa,NA
itis,Salvia leucophylla,Magnoliopsida
ncbi,Salvia leucophylla,NA
itis,Salvia mohavensis,Magnoliopsida
ncbi,Salvia mohavensis,NA
itis,Bromus tectorum,Magnoliopsida
ncbi,Bromus tectorum,Liliopsida
itis,Bromus rubens,Magnoliopsida
ncbi,Bromus rubens,Liliopsida
itis,Eriodictyon californicum,Magnoliopsida
ncbi,Eriodictyon californicum,NA
itis,Artemisia californica,Magnoliopsida
ncbi,Artemisia californica,NA
itis,Poeciliopsis occidentalis,Teleostei
ncbi,Poeciliopsis occidentalis,Actinopteri
itis,Spea hammondii,Amphibia
ncbi,Spea hammondii,Amphibia
itis,Cophosaurus texanus,Reptilia
ncbi,Cophosaurus texanus,NA
itis,Eleutherodactylus coqui,Amphibia
ncbi,Eleutherodactylus coqui,Amphibia
itis,Eleutherodactylus portoricensus,NA
ncbi,Eleutherodactylus portoricensus,NA
itis,Haplogloia andersonii,Phaeophyceae
ncbi,Haplogloia andersonii,Phaeophyceae
itis,Hyla chloris,NA
ncbi,Hyla chloris,NA
itis,Hyla gracilenta,NA
ncbi,Hyla gracilenta,NA
itis,Hyla lesueuri,NA
ncbi,Hyla lesueuri,NA
itis,Hyla glauerti,NA
ncbi,Hyla glauerti,NA
itis,Hyla rubella,NA
ncbi,Hyla rubella,NA
itis,Hyla rothi,NA
ncbi,Hyla rothi,NA
itis,Limnodynastes peroni,Amphibia
ncbi,Limnodynastes peroni,NA
itis,Hyla caerulea,NA
ncbi,Hyla caerulea,Amphibia
itis,Cyclorana brevipes,NA
ncbi,Cyclorana brevipes,Amphibia
itis,Rattus fuscipes,Mammalia
ncbi,Rattus fuscipes,Mammalia
itis,Crinia signifera,Amphibia
ncbi,Crinia signifera,Amphibia
itis,Hyla ewingi,NA
ncbi,Hyla ewingi,NA
itis,Hyla peroni,NA
ncbi,Hyla peroni,NA
itis,Limnodynastes dorsalis,Amphibia
ncbi,Limnodynastes dorsalis,Amphibia
itis,Pseudophryne bibroni,Amphibia
ncbi,Pseudophryne bibroni,Amphibia
itis,Limnodynastes tasmaniensis,Amphibia
ncbi,Limnodynastes tasmaniensis,Amphibia
itis,Crinia parainsignifera,NA
ncbi,Crinia parainsignifera,NA
itis,Desmarestia herbacea,NA
ncbi,Desmarestia herbacea,Phaeophyceae
itis,Donax serra,NA
ncbi,Donax serra,NA
itis,Donax sordidus,NA
ncbi,Donax sordidus,NA
itis,Bullia rhodostoma,NA
ncbi,Bullia rhodostoma,Gastropoda
itis,Hyla aurea,NA
ncbi,Hyla aurea,NA
itis,Hyla phyllochroa,NA
ncbi,Hyla phyllochroa,NA
itis,Crinia victoriana,Amphibia
ncbi,Crinia victoriana,NA
itis,Hyla alpina,NA
ncbi,Hyla alpina,NA
itis,Ctenomys talarum,Mammalia
ncbi,Ctenomys talarum,Mammalia
itis,Desmarestia willii,NA
ncbi,Desmarestia willii,NA
itis,Liolaemus fabiani,Reptilia
ncbi,Liolaemus fabiani,NA
itis,Palirhoeus eatoni,NA
ncbi,Palirhoeus eatoni,Insecta
itis,Tinocladia falklandica,NA
ncbi,Tinocladia falklandica,NA
itis,Dictyosiphon hirsutus,NA
ncbi,Dictyosiphon hirsutus,NA
itis,Trachynema groenlandicum,NA
ncbi,Trachynema groenlandicum,Phaeophyceae
itis,Agosia chrysogaster,Teleostei
ncbi,Agosia chrysogaster,Actinopteri
itis,Catostomus clarkii,Teleostei
ncbi,Catostomus clarkii,Actinopteri
itis,Cyprinodon macularius,Teleostei
ncbi,Cyprinodon macularius,Actinopteri
itis,Gila elegans,Teleostei
ncbi,Gila elegans,Actinopteri
itis,Gila intermedia,Teleostei
ncbi,Gila intermedia,Actinopteri
itis,Gila robusta,Teleostei
ncbi,Gila robusta,Actinopteri
itis,Meda fulgida,Teleostei
ncbi,Meda fulgida,Actinopteri
itis,Rhinichthys cobitis,Teleostei
ncbi,Rhinichthys cobitis,Actinopteri
itis,Xyrauchen texanus,Teleostei
ncbi,Xyrauchen texanus,Actinopteri
itis,Gigartina teedii,Florideophyceae
ncbi,Gigartina teedii,NA
itis,Anolis distichus,Reptilia
ncbi,Anolis distichus,NA
itis,Anolis sagrei,Reptilia
ncbi,Anolis sagrei,NA
itis,Metacarcinus magister,NA
ncbi,Metacarcinus magister,Malacostraca
itis,Laminaria longicruris,NA
ncbi,Laminaria longicruris,NA
itis,Cryptopygus antarcticustravei,NA
ncbi,Cryptopygus antarcticustravei,NA
itis,Tullbergia bisetosa,NA
ncbi,Tullbergia bisetosa,Collembola
itis,Sceloporus magister,Reptilia
ncbi,Sceloporus magister,NA
itis,Zootoca vivipara,NA
ncbi,Zootoca vivipara,NA
itis,Anolis cybotes,Reptilia
ncbi,Anolis cybotes,NA
itis,Anolis shrevei,Reptilia
ncbi,Anolis shrevei,NA
itis,Anolis marcanoi,Reptilia
ncbi,Anolis marcanoi,NA
itis,Anolis krugi,Reptilia
ncbi,Anolis krugi,NA
itis,Anolis pulchellus,Reptilia
ncbi,Anolis pulchellus,NA
itis,Anolis semilineatus,Reptilia
ncbi,Anolis semilineatus,NA
itis,Anolis roquet,Reptilia
ncbi,Anolis roquet,NA
itis,Trapelus savignii,Reptilia
ncbi,Trapelus savignii,NA
itis,Laudakia stellio,NA
ncbi,Laudakia stellio,NA
itis,Takydromus formosanus,NA
ncbi,Takydromus formosanus,NA
itis,Takydromus hsuehshaner,NA
ncbi,Takydromus hsuehshaner,NA
itis,Takydromus stejnegeri,NA
ncbi,Takydromus stejnegeri,NA
itis,Sphenomorphus incognitus,NA
ncbi,Sphenomorphus incognitus,NA
itis,Sphenomorphus taiwanensis,NA
ncbi,Sphenomorphus taiwanensis,NA
itis,Xantusia vigilis,Reptilia
ncbi,Xantusia vigilis,NA
itis,Sceloporus grammicus,Reptilia
ncbi,Sceloporus grammicus,NA
itis,Eremias multiocellata,NA
ncbi,Eremias multiocellata,NA
itis,Urosaurus ornatus,Reptilia
ncbi,Urosaurus ornatus,NA
itis,Petrosaurus mearnsi,Reptilia
ncbi,Petrosaurus mearnsi,NA
itis,Ameiva festiva,Reptilia
ncbi,Ameiva festiva,NA
itis,Anolis carolinensis,Reptilia
ncbi,Anolis carolinensis,NA
itis,Cnemidophorus tigris,Reptilia
ncbi,Cnemidophorus tigris,NA
itis,Lepidophyma flavimaculatum,Reptilia
ncbi,Lepidophyma flavimaculatum,NA
itis,Sceloporus malachiticus,Reptilia
ncbi,Sceloporus malachiticus,NA
itis,Sceloporus occidentalis,Reptilia
ncbi,Sceloporus occidentalis,NA
itis,Sceloporus variabilis,Reptilia
ncbi,Sceloporus variabilis,NA
itis,Podarcis tilliguerta,NA
ncbi,Podarcis tilliguerta,NA
itis,Diamesa sp.1,NA
ncbi,Diamesa sp.1,NA
itis,Calathus melanocephalus,Insecta
ncbi,Calathus melanocephalus,Insecta
