genus_species,range_status
Pacifastacus leniusculus,we have range data
Callorhinus ursinus,NA
Fundulus parvipinnis,we have range data
Salmo salar,we have range data
Gasterosteus aculeatus,we have range data
Oncorhynchus clarkii,range data missing
Gila bicolor_mohavensis,range data missing
Cyprinodon sp.1,NA
Cottus cognatus,we have range data
Alosa pseudoharengus,range data missing
Myrmecocystus mimicus,we have range data
Myrmecocystus romainei,range data missing
Myrmecocystus depilis,range data missing
Drosophila angularis,range data missing
Drosophila auraria,range data missing
Drosophila biauraria,range data missing
Drosophila bipectinata,range data missing
Drosophila bizonata,range data missing
Drosophila bocki,range data missing
Drosophila brachynephros,range data missing
Drosophila curvispina,range data missing
Drosophila daruma,range data missing
Drosophila elegans,range data missing
Drosophila ficusphila,range data missing
Drosophila kanekoi,range data missing
Drosophila lacertosa,range data missing
Drosophila lacteicornis,range data missing
Drosophila lutescens,range data missing
Drosophila nigromaculata,range data missing
Drosophila orientacea,range data missing
Drosophila quadrilineata,range data missing
Drosophila ruberrima,range data missing
Drosophila rufa,range data missing
Drosophila sternopleuralis,range data missing
Drosophila suzukii,range data missing
Drosophila takahashii,range data missing
Drosophila unispina,range data missing
Hirtodrosophila histrioides,range data missing
Scaptodrosophila bryani,range data missing
Scaptodrosophila coracina,range data missing
Scaptodrosophila dorsocentralis,range data missing
Scaptomyza pallida,NA
Gonocephalum simplex,range data missing
Impatiens parviflora,range data missing
Ligustrum vulgare,range data missing
Nerium oleander,range data missing
Phoenix canariensis,we have range data
Sorbus toctminlis,NA
Teucrium chamaedrys,range data missing
Vinca minor,range data missing
Vitis vinifera,range data missing
Ulvaria oxysperma,NA
Gayralia sp.1,NA
Clupea herengus,range data missing
Gillichthys mirabilis,NA
Dasya baillouviana,we have range data
Sceloporus jarrovi,we have range data
Antarctopsocus jeanneli,range data missing
Halmaeusa atriceps,range data missing
Chirodica chalcoptera,range data missing
Glossina pallidipes,range data missing
Messor capitatus,range data missing
Pheidole pallldula,NA
Plagiolepis pygmaea,range data missing
Tetramorium nigerrimum,range data missing
Tetramorium semilaeve,range data missing
Podacarus auberti,range data missing
Halozetes belgicae,we have range data
Halozetes fulvus,range data missing
Halozetes marinus,range data missing
Halozetes marionensis,range data missing
Plethodon glutinosus,we have range data
Dasyatis sabina,we have range data
Rana virgatipes,we have range data
Ambystoma macrodactylum,we have range data
Litoria gracilenta,we have range data
Myro kerguelenensis,range data missing
Prinerigone vagans,we have range data
Linepithema humile,we have range data
Myrmecocystus mexican,NA
Mya arenaria,we have range data
Gemma gemma,we have range data
Mulinia lateralis,we have range data
Desmognathus fuscus,we have range data
Eurycea bislineata,we have range data
Hyla labialis,we have range data
Lithobates sylvatica,we have range data
Atrichum undulatum,range data missing
Pseudacris triseriata,we have range data
Anguilla dieffenbachii,NA
Galaxias fasciatus,NA
Cheimarrichthys fosteri,NA
Galaxias maculatus,NA
Retropinna retropinna,NA
Eurycea longicauda,we have range data
Eurycea lucifuga,we have range data
Ambystoma maculatum,we have range data
Eurycea multiplicata,we have range data
Isotoma klovstadi,range data missing
Cryptopygus cisantarcticus,range data missing
Friesea grisea,range data missing
Etheostoma cragini,we have range data
Pogonichthys macrolepidotus,we have range data
Paa spinosa,we have range data
Poeciliopsis monacha,we have range data
Poeciliopsis monacha_lucida,NA
Lacerta agilis,we have range data
Poeciliopsis monacha_occidentalis,NA
Dipsosaurus dorsalis,we have range data
Zoarces viviparus,we have range data
Desmarestia viridis,range data missing
Celmisia haastii,we have range data
Anisotome imbricata,we have range data
Dracophyllum muscoides,range data missing
Celmisia viscosa,we have range data
Hectorella caespitosa,we have range data
Poa colensoi,range data missing
Lagopus mutus hyperboreus,NA
Dumontia contorta,we have range data
Lagopus lagopus,NA
Lagopus mutus,NA
Sphaerotrichia divaricata,we have range data
Desmarestia aculeata,we have range data
Dictyosiphon foeniculaceus,range data missing
Bufo boreas,we have range data
Silene acaulis,range data missing
Rana pipiens,we have range data
Eriogonum latifolium,we have range data
Eriogonum fasciculatum,we have range data
Atriplex hymenelytra,we have range data
Baccharis pilularis,we have range data
Atriplex leucophylla,range data missing
Encella farinosa,NA
Salvia leucophylla,range data missing
Salvia mohavensis,range data missing
Bromus tectorum,we have range data
Bromus rubens,we have range data
Eriodictyon californicum,we have range data
Artemisia californica,we have range data
Poeciliopsis occidentalis,we have range data
Spea hammondii,we have range data
Cophosaurus texanus,we have range data
Eleutherodactylus coqui,we have range data
Eleutherodactylus portoricensus,we have range data
Haplogloia andersonii,we have range data
Hyla chloris,we have range data
Hyla gracilenta,we have range data
Hyla lesueuri,we have range data
Hyla glauerti,we have range data
Hyla rubella,we have range data
Hyla rothi,we have range data
Limnodynastes peroni,we have range data
Hyla caerulea,we have range data
Cyclorana brevipes,NA
Rattus fuscipes,NA
Crinia signifera,we have range data
Hyla ewingi,we have range data
Hyla peroni,we have range data
Limnodynastes dorsalis,we have range data
Pseudophryne bibroni,we have range data
Limnodynastes tasmaniensis,we have range data
Crinia parainsignifera,we have range data
Desmarestia herbacea,range data missing
Donax serra,we have range data
Donax sordidus,range data missing
Bullia rhodostoma,we have range data
Hyla aurea,we have range data
Hyla phyllochroa,we have range data
Crinia victoriana,we have range data
Hyla alpina,we have range data
Ctenomys talarum,NA
Desmarestia willii,range data missing
Liolaemus fabiani,range data missing
Palirhoeus eatoni,range data missing
Tinocladia falklandica,we have range data
Dictyosiphon hirsutus,we have range data
Trachynema groenlandicum,we have range data
Agosia chrysogaster,we have range data
Catostomus clarkii,we have range data
Cyprinodon macularius,we have range data
Gila elegans,we have range data
Gila intermedia,we have range data
Gila robusta,we have range data
Meda fulgida,we have range data
Rhinichthys cobitis,we have range data
Xyrauchen texanus,we have range data
Gigartina teedii,range data missing
Anolis distichus,range data missing
Anolis sagrei,we have range data
Metacarcinus magister,we have range data
Laminaria longicruris,range data missing
Cryptopygus antarcticustravei,NA
Tullbergia bisetosa,range data missing
Sceloporus magister,we have range data
Zootoca vivipara,we have range data
Anolis cybotes,we have range data
Anolis shrevei,we have range data
Anolis marcanoi,we have range data
Anolis krugi,we have range data
Anolis pulchellus,we have range data
Anolis semilineatus,we have range data
Anolis roquet,we have range data
Trapelus savignii,we have range data
Laudakia stellio,we have range data
Takydromus formosanus,we have range data
Takydromus hsuehshaner,NA
Takydromus stejnegeri,we have range data
Sphenomorphus incognitus,range data missing
Sphenomorphus taiwanensis,range data missing
Xantusia vigilis,we have range data
Sceloporus grammicus,we have range data
Eremias multiocellata,we have range data
Urosaurus ornatus,we have range data
Petrosaurus mearnsi,we have range data
Ameiva festiva,we have range data
Anolis carolinensis,we have range data
Cnemidophorus tigris,we have range data
Lepidophyma flavimaculatum,we have range data
Sceloporus malachiticus,we have range data
Sceloporus occidentalis,we have range data
Sceloporus variabilis,we have range data
Podarcis tilliguerta,NA
Diamesa sp.1,NA
Calathus melanocephalus,we have range data
Trimeresurus gracilis,we have range data
Protobothrops mucrosquamatus,we have range data
Trimeresurus stejnegeri,range data missing
Takydromus septentrionalis,range data missing
Anguilla australis,NA
Uloma impressa,range data missing
Melanotus sp.1,NA
Cucujus clavipes,range data missing
Parcoblatta pennsylvanica,range data missing
Canthon humectus_hidalgoensis,range data missing
Bugula californica,NA
Thamnophis elegans,we have range data
Nacella concinna,we have range data
Urosaurus auriculatus,we have range data
Urosaurus clarionensis,we have range data
Agkistrodon contortrix,we have range data
Trachylepis striata,range data missing
Uta stansburiana,we have range data
Sceloporus graciosus,we have range data
Eciton burchellii,we have range data
Rana clamitans,we have range data
Ambystoma tigrinum,NA
Lithobates catesbeiana,NA
Lithobates pipiens,NA
Rhinella marina,NA
Melanophryniscus rubriventris,NA
Anaxyrus americanus,NA
Anaxyrus woodhousii,NA
Lithobates sylvaticus,NA
Pseudacris regilla,we have range data
Hyla versicolor,NA
Rhinella granulosa,NA
Acris crepitans,we have range data
Desmognathus quadramaculatus,we have range data
Notophthalmus viridescens,we have range data
Ambystoma jeffersonianum,we have range data
Ascaphus truei,NA
Buergeria japonica,NA
Eleutherodactylus portoricensis,NA
Limnodynastes peronii,NA
Limnodynastes salmini,NA
Lithobates berlandieri,NA
Litoria aurea,NA
Litoria australis,NA
Litoria caerulea,NA
Litoria fallax,NA
Litoria freycineti,NA
Litoria lesueuri,NA
Litoria nasuta,NA
Litoria peronii,NA
Litoria rubella,NA
Mixophyes fasciolatus,NA
Neobatrachus pictus,we have range data
Pseudacris crucifer,NA
Pseudophryne bibronii,NA
Quasipaa spinosa,NA
Necturus maculosus,NA
Anaxyrus boreas,NA
Anaxyrus cognatus,NA
Crinia parinsignifera,NA
Desmognathus ochrophaeus,we have range data
Geocrinia victoriana,NA
Litoria bicolor,NA
Litoria chloris,NA
Litoria ewingii,NA
Litoria phyllochroa,NA
Litoria rothii,NA
Litoria verreauxii,NA
Odontophrynus occidentalis,NA
Desmognathus monticola,NA
Plethodon cinereus,NA
Plethodon jordani,NA
Ambystoma triseriata,NA
Hyperolius viridiflavus,NA
Acipenser brevirostrum,NA
Ambassis ambassis,NA
Apogon dovii,we have range data
Apogon pacificus,NA
Lipophrys pholis,NA
Lipophrys trigloides,we have range data
Carpiodes cyprinus,we have range data
Catostomus commersonii,NA
Hypentelium nigricans,we have range data
Ambloplites rupestris,NA
Lepomis cyanellus,we have range data
Lepomis gibbosus,we have range data
Lepomis macrochirus,we have range data
Lepomis megalotis,we have range data
Micropterus dolomieu,we have range data
Micropterus punctulatus,we have range data
Micropterus salmoides,we have range data
Pomoxis annularis,NA
Pomoxis nigromaculatus,NA
Lates calcarifer,NA
Chaenocephalus aceratus,NA
Chionodraco rastrospinosus,NA
Gymnocharacinus bergii,NA
Etroplus suratensis,NA
Oreochromis mossambicus,NA
Cirrhitichthys oxycephalus,range data missing
Dorosoma cepedianum,NA
Sardinops sagax,NA
Cottus bairdii,we have range data
Cottus carolinae,NA
Cottus gobio,NA
Campostoma anomalum,range data missing
Carassius auratus,NA
Carassius carassius,NA
Chrosomus erythrogaster,NA
Couesius plumbeus,NA
Ctenopharyngodon idella,NA
Cyprinella lutrensis,we have range data
Cyprinella spiloptera,we have range data
Cyprinus carpio,NA
Danio rerio,NA
Gobio gobio,NA
Hybognathus placitus,we have range data
Hypophthalmichthys nobilis,NA
Labeo rohita,NA
Leuciscus idus,NA
Luxilus chrysocephalus,we have range data
Luxilus cornutus,we have range data
Notemigonus crysoleucas,we have range data
Notropis atherinoides,we have range data
Notropis hudsonius,NA
Notropis rubellus,we have range data
Notropis stramineus,we have range data
Pimephales notatus,we have range data
Pimephales promelas,we have range data
Rhinichthys atratulus,we have range data
Rhinichthys osculus,we have range data
Rutilus rutilus,NA
Scardinius erythrophthalmus,NA
Semotilus atromaculatus,we have range data
Siphateles bicolor,NA
Squalius cephalus,NA
Cyprinodon bovinus,NA
Cyprinodon dearborni,range data missing
Cyprinodon nevadensis,NA
Gobiomorphus basalis,NA
Gobiomorphus cotidianus,NA
Esox lucius,NA
Esox masquinongy,NA
Fundulus diaphanus,NA
Fundulus heteroclitus,we have range data
Fundulus notatus,we have range data
Culaea inconstans,NA
Gobiesox strumosus,NA
Bathygobius fuscus,we have range data
Bathygobius ramosus,we have range data
Bathygobius soporator,we have range data
Coryphopterus urospilus,we have range data
Gobiosoma chiquita,NA
Gobius paganellus,NA
Haemulon flavolineatum,NA
Ameiurus catus,NA
Ameiurus melas,we have range data
Ameiurus natalis,we have range data
Ameiurus nebulosus,NA
Ictalurus punctatus,we have range data
Kuhlia sandvicensis,range data missing
Halichoeres dispilus,we have range data
Thalassoma lucasanum,we have range data
Lutjanus guttatus,we have range data
Dicentrarchus labrax,we have range data
Morone chrysops,NA
Morone saxatilis,NA
Chelon subviridis,NA
Mugil cephalus,NA
Gobionotothen gibberifrons,NA
Lepidonotothen squamifrons,NA
Notothenia coriiceps,NA
Pagothenia borchgrevinki,NA
Trematomus bernacchii,we have range data
Trematomus hansoni,we have range data
Hypomesus transpacificus,we have range data
Osmerus mordax,NA
Etheostoma blennioides,we have range data
Etheostoma caeruleum,we have range data
Etheostoma flabellare,we have range data
Etheostoma nigrum,we have range data
Etheostoma spectabile,we have range data
Gymnocephalus cernua,NA
Perca flavescens,NA
Perca fluviatilis,NA
Sander vitreus,NA
Gambusia affinis,we have range data
Heterandria formosa,NA
Poecilia mexicana,NA
Abudefduf saxatilis,range data missing
Coregonus artedi,NA
Coregonus clupeaformis,NA
Oncorhynchus kisutch,range data missing
Oncorhynchus mykiss,NA
Salmo trutta,we have range data
Salvelinus alpinus,NA
Salvelinus fontinalis,NA
Salvelinus namaycush,NA
Thymallus arcticus,NA
Scatophagus argus,NA
Aplodinotus grunniens,NA
Diplodus vulgaris,we have range data
Terapon jarbua,NA
Sphoeroides annulatus,NA
