no_acclimation,genus,species,phylum,class,order,family,life_stage,season_inactive,logic_source_for_season_inactive,season_when_away (migratory only),logic_source_season_when_away,maturity_sex,age_maturity_days,maturity_days_reference,maturity_days2,maturity_days2_reference,lifespan_days,lifespan_days_reference,data_gatherer,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,Home range size_Km2,logic-source_for_Home range size,migratory,source_logic_for_migration_info,,realm,kingdom,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,trophic_position,source_logic_for_trophic_position,,,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering,logic_source_for_dispersal_type,cold_season_dormancy,source_logic_for_cold_season_dormancy,hot_season_dormancy,source_logic_for_hot_season_dormancy,highland_specialist,pelagic_habitat_for_marine_species,source_logic_for_highland_specialist,notes,orig_genus,orig_species,terrestriality_available_for_mammals_only_see_pan_theria_metadata,pantheria05genus,pantheria05species,pantheria93genus,pantheria93species,all_pantheria_synonyms05,pantheria_references,binary_name,try_species_number_for_plants,notes_on_body_size_e_g_type_of_metric
,Hyla,rothi,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,caerulea,Chordata,Amphibia,Anura,Hylidae,adult,,,,,,NA,,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,10,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,ewingi,Chordata,Amphibia,Anura,Hylidae,adult,,,,,,NA,,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,3.8,"Barwick, R.E. 1961. Illustrations of the New Zealand Frog Fauna. Tuatara, 8: 96-98",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,peroni,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,5.12,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,aurea,Chordata,Amphibia,Anura,Hylidae,adult,,,,,,NA,,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,8.5,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,phyllochroa,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,alpina,Chordata,Amphibia,Anura,Hylidae,adult,,,,,,NA,,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,4,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Limnodynastes,peroni,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Limnodynastes,dorsalis,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Limnodynastes,tasmaniensis,Chordata,Amphibia,Anura,Hylidae,NA,,,,,unknown,80,AmphibiaWeb,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,gracilenta,Chordata,Amphibia,Anura,Hylidae,NA,,,,,unknown,98,AmphibiaWeb,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,5,"Vanderduys, E. (2013). Field Guide of Frogs from Queensland. CSIRO Publishing, Clayton.",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Pseudacris,triseriata,Chordata,Amphibia,Anura,Hylidae,adult,,,,,,NA,,,,,,Micky,0-1,"Kramer, D. C. 1973. Movements of western chorus frogs (Pseudacris triseriata triseriata ) tagged with Co60  - J. Herpetol. 7: 231  -235.",,,,,NA,NA,,Terrestrial,Animalia,4,"Moen, D. S., S. A. Smith, and J. J. Wiens. 2009. Community assembly through evolutionary diversification and dispersal in Middle American treefrogs. Evolution 63:3228-3247",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Pseudophryne,bibroni,Chordata,Amphibia,Anura,Hylidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Crinia,signifera,Chordata,Amphibia,Anura,Myobatrachidae,adult,,,,,,NA,,,,,,Micky,NA,NA,,,,,Y,"Lemckert, Francis. ""Population structure, individual growth and survival of an Australian frog Crinia signifera at a pond."" Acta Zoologica Sinica 51 (2005): 393-400.",,Terrestrial,Animalia,3,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995).恠Field Guide to Australian Frogs.擵rrey Beatty and Sons, New South Wales.挦",insectivore,"Cogger, H.G. 1979. Reptiles & Amphibians of Australia. A. H. & A. W. REED PTY LTD ISBN 0-589-50108-9",,,walking,"Lemckert, Francis. ""Population structure, individual growth and survival of an Australian frog Crinia signifera at a pond."" Acta Zoologica Sinica 51 (2005): 393-400.",NA,NA,NA,NA,non-highland specialist,NA,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Crinia,parainsignifera,Chordata,Amphibia,Anura,Myobatrachidae,adult,,,,,,NA,,,,,,Micky,NA,NA,,,,,Y,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",,Terrestrial,Animalia,2,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995).恠Field Guide to Australian Frogs.擵rrey Beatty and Sons, New South Wales.挦",insectivore,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",,,walking,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",Y,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,NA,non-highland specialist,NA,"Barker, J., Grigg, G. C., and Tyler, M. J. (1995). A Field Guide to Australian Frogs. Surrey Beatty and Sons, New South Wales.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Crinia,victoriana,Chordata,Amphibia,Anura,Myobatrachidae,adult,,,,,,NA,,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,3.5,Amphibian Research Centre. The Frogs of Australia. available at :[http://frogs.org.au],NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Acris,crepitans,Chordata,Amphibia,Anura,NA,Adult,,,,,unknown,365,AmphiBio,,,1095,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Anaxyrus,americanus,Chordata,Amphibia,Anura,NA,larva,,,,,females,1095,AmphibiaWeb,,,1825,AmphibiaWeb,NA,NA,NA,,,6,AmphibiaWeb,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Anaxyrus,woodhousii,Chordata,Amphibia,Anura,NA,larva,,,,,,,,,,730,AmphibiaWeb,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Anaxyrus,boreas,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,3285,AmphibiaWeb,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Anaxyrus,cognatus,Chordata,Amphibia,Anura,NA,Adult,,,,,Both,730,AmphiBio,,,3890,AmphibiaWeb,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ascaphus,truei,Chordata,Amphibia,Anura,NA,Adult,,,,,Females,3285,AmphibiaWeb,,,5110,AmphibiaWeb,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Buergeria,japonica,Chordata,Amphibia,Anura,NA,larva,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Crinia,parinsignifera,Chordata,Amphibia,Anura,NA,Adult,,,,,unknown,365,AmphiBio,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Eleutherodactylus,portoricensis,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Geocrinia,victoriana,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyperolius,viridiflavus,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Limnodynastes,peronii,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Limnodynastes,salmini,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Lithobates,catesbeiana,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Lithobates,pipiens,Chordata,Amphibia,Anura,NA,Adult,,,,,unknown,365,AmphiBio,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Lithobates,berlandieri,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,aurea,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,australis,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,caerulea,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,fallax,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,freycineti,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,lesueuri,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,peronii,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,rubella,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,bicolor,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,chloris,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,ewingii,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,phyllochroa,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,rothii,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Litoria,verreauxii,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mixophyes,fasciolatus,Chordata,Amphibia,Anura,NA,Adult,,,,,unknown,1241,AmphiBio,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Neobatrachus,pictus,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Odontophrynus,occidentalis,Chordata,Amphibia,Anura,NA,larva,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Pseudacris,regilla,Chordata,Amphibia,Anura,NA,Adult,,,,,unknown,365,AmphiBio,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Pseudacris,crucifer,Chordata,Amphibia,Anura,NA,Adult,,,,,uknown,730,AmphiBio,,,769,AmphibiaWeb,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Pseudophryne,bibronii,Chordata,Amphibia,Anura,NA,Adult,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Rana,clamitans,Chordata,Amphibia,Anura,NA,Adult,,,,,unknown,365,AmphibiaWeb,,,2000,AmphibiaWeb,NA,NA,NA,,,"6,2e-5",AmphibiaWeb,Non-migratory,AmphibiaWeb,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Rhinella,marina,Chordata,Amphibia,Anura,NA,Adult,,,,,unknown,365,AmphibiaWeb,,,5788,AmphibiaWeb,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Rhinella,granulosa,Chordata,Amphibia,Anura,NA,larva,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Spea,hammondii,Chordata,Amphibia,Anura,Pelobatidae,adult,,,,,,unknown,AmphibiaWeb,,,unknown,AmphibiaWeb,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Lithobates,sylvaticus,Chordata,Amphibia,Anura,Ranidae,adult,,,,,unknown,365,AmphiBio,,,,,Micky,NA,NA,,,,,NA,NA,,Terrestrial,Animalia,6,"Prairie Research Institute. Lithobates sylvaticus. Illinois Natural History Survey, available at : [http://wwx.inhs.illinois.edu/collections/herps/data/ilspecies/ra_sylvati/]\",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Rana,pipiens,Chordata,Amphibia,Anura,Ranidae,adult,,,,,,NA,,,,,,Micky,1--10,"Seburn, C. N. L. et al. 1997. Northern leopard frog (Rana pipiens ) dispersal in relation to habitat.  In: Green, D. M. (ed.), Amphibians in decline: Canadian studies of a global problem. Society for the study of amphibians and reptiles, pp. 72 -64.",,,,,NA,NA,,Terrestrial,Animalia,12.7,"Hillis, D.M. 1988. Systematics of the撡na pipiens棯mplex: puzzle and paradigm. Annual Review of Ecology and Systematics 19:39䳱63.",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ambystoma,macrodactylum,Chordata,Amphibia,Caudata,Ambystomatidae,adult,winter,AmphibiaWeb,winter,AmphibiaWeb,female,730,AnAge,NA,NA,3650,AmphibiaWeb,Micky/Ilona,1--10,"Funk, W. C. and Dunlap, W. W. 1999. Colonization of high-elevation lakes by long-toed salamanders (Ambystoma macrodactylum ) after the extinction of introduced trout populations.   Can. J. Zool. 77: 1759 -1767",,,0.0001156 - 0.0001675,Amphibiaweb: range of values reflect females (first value) then males,Yes,AmphibiaWeb,,Terrestrial,Animalia,5.5,"Russell, A.P. and G.L. Powell and D.R. Hall. 1996. Growth and age of Alberta long-toed salamanders (Ambystoma macrodactylum krausei): a comparison of two methods of estimation. Canadian Journal of Zoology 74:397䳱412.",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ambystoma,maculatum,Chordata,Amphibia,Caudata,Ambystomatidae,unknown,winter,"AmphibiaWeb (this reflects adult breeding migrations/time of hibernation, and NOT larval post-metamorphic migration)",winter,"AmphibiaWeb (this reflects adult breeding migrations/time of hibernation, and NOT larval post-metamorphic migration)",female,1095,AnAge,730,AmphiBio,8030-9125,AmphibiaWeb,Micky/Ilona,0-1,"Madison, D. M. 1997. The emigration of radio-implanted spotted salamanders, Ambystoma maculatum .  J. Herpetol. 31: 542 -551.",,,0.0000012 - 0.0000015 ,"Amphibiaweb: Douglas and Monroe, 1981; Kleeberger and Werner, 1983",Yes,AmphibiaWeb,,Terrestrial,Animalia,25,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ambystoma,jeffersonianum,Chordata,Amphibia,Caudata,Ambystomatidae,Adult,winter,AmphibiaWeb,winter,AmphibiaWeb,unknown,730-1095,AmphibaWeb,NA,NA,1095,"AmphibiaWeb, estimate is based on mark-recapture studies where 10-18% of adults were recaptured",Ilona,0 --1,"The original dispersal values aer 250–1,600 m. I selected the 0-1km dispersal distance caetgory to reflect that likely most dispersal is happening at distances < 1km. Source AMphiweb, Douglas and Monroe 1981)",,,unknown,NA,Yes,AmphibiaWeb,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Desmognathus,quadramaculatus,Chordata,Amphibia,Caudata,Ambystomatidae,Adult,none,AmphibiaWeb,not migratory,NA,male and female,2190,AmphiBio,"Males: 1825-2920, females: 2190-3650",AmphibiaWeb,5430,AmphibiaWeb,Ilona,0-1,Cecala and Maerz 2015. Context-dependent responses to light contribute to responses by Black-bellied Salamanders (Desmognathus quadramaculatus) to landscape disturbances,,,in centimeters!!! 1207 cm2,AmphibiaWeb: Camp and Lee 1996,Non-migratory,AmphibiaWeb,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Desmognathus,fuscus,Chordata,Amphibia,Caudata,Plethodontidae,unknown,none,Ashton 1975,not migratory,NA,male and female,730,AmphiBio,Males: 730 Females: 1095,,1591,AmphibiaWeb,Micky/Ilona,0-1,"Barthlamus, G. T. and Bellis, E. D. 1972. Home range, homing and homing mechanism of the salamander, Desmognathus fuscus.  Copeia 1972: 632 -642.",,,25.2–114.5 m2,AmphibiaWeb,Non-migratory,AmphibiaWeb,,Terrestrial,Animalia,4,"Jones, R.L. 1986. Reproductive biology of Desmognathus fuscus and Desmognathus santeetlah in the Unicoi Mountains. Herpetologica 42:323-334.",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
