no_acclimation,genus,species,phylum,class,order,family,life_stage,season_inactive,logic_source_for_season_inactive,season_when_away (migratory only),logic_source_season_when_away,maturity_sex,age_maturity_days,maturity_days_reference,maturity_days2,maturity_days2_reference,lifespan_days,lifespan_days_reference,data_gatherer,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,Home range size_Km2,logic-source_for_Home range size,migratory,source_logic_for_migration_info,,realm,kingdom,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,trophic_position,source_logic_for_trophic_position,,,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering,logic_source_for_dispersal_type,cold_season_dormancy,source_logic_for_cold_season_dormancy,hot_season_dormancy,source_logic_for_hot_season_dormancy,highland_specialist,pelagic_habitat_for_marine_species,source_logic_for_highland_specialist,notes,orig_genus,orig_species,terrestriality_available_for_mammals_only_see_pan_theria_metadata,pantheria05genus,pantheria05species,pantheria93genus,pantheria93species,all_pantheria_synonyms05,pantheria_references,binary_name,try_species_number_for_plants,notes_on_body_size_e_g_type_of_metric
,Eurycea,lucifuga,Chordata,Amphibia,Caudata,Plethodontidae,unknown,none,"*likely none, AmphibiaWeb",not migratory,AmphibiaWeb,female,1095,AnAge,1095,AmphiBio,unknown,AmphibiaWeb,Micky/Ilona,0-1,"Hutchison, V.H. 1958. The distribution and ecology of the cave salamander, Eurycea lucifuga. Ecological Monographs 28:1-20.",,,unknown,AmphibiaWeb,Y,"Hutchison, V.H. 1958. The distribution and ecology of the cave salamander, Eurycea lucifuga. Ecological Monographs 28:1-20.",,Terrestrial,Animalia,20,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",omnivore,"Peck, S.B. 1974. The food of the salamanders Eurycea lucifuga and Plethodon glutinosus in caves. National Speleological Society Bulletin 36:7-10.",,,walking,"Hutchison, V.H. 1958. The distribution and ecology of the cave salamander, Eurycea lucifuga. Ecological Monographs 28:1-20.",N,"Hutchison, V.H. 1958. The distribution and ecology of the cave salamander, Eurycea lucifuga. Ecological Monographs 28:1-20.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Eurycea,bislineata,Chordata,Amphibia,Caudata,Plethodontidae,unknown,unknown,AmphibiaWeb,not migratory,AmphibiaWeb,unknown,1095,AmphiBio,1095-1460,AmphibiaWeb,unknown,AmphibiaWeb,Micky/Ilona,0-1,"Johnson, J. E. and Goldberg, A. S. 1975. Movement of  larval two lined salamanders (Eurycea bislineata ) in the Mill River, Massachusetts.  Copeia 1975: 588 -589.",,,,,Non-migratory,AmphibiaWeb,,Terrestrial,Animalia,9.7,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Eurycea,longicauda,Chordata,Amphibia,Caudata,Plethodontidae,unknown,fall-winter,AmphibiaWeb,winter,AmphibiaWeb,unknown,365,AmphiBio,365-730,AmphibiaWeb,unknown,AmphibiaWeb,Micky/Ilona,0-1,"Mohr, C.E. 1944. A remarkable salamander migration. Proceedings of the Pennsylvania Academy of Science 18:51-54.",,,unknown,AmphibiaWeb,Y,"Mohr, C.E. 1944. A remarkable salamander migration. Proceedings of the Pennsylvania Academy of Science 18:51-54.",,Terrestrial,Animalia,4.6,"Ireland, P.H. 1974. Reproduction and larval development of the dark-sided salamander,慵rycea longicauda melanopleura. Herpetologica 30:338䳱343.",insectivore,"Anderson, J.D. and P.J. Martino. 1966. The life history of Eurycea l. longicauda associated with ponds. American Midland Naturalist 75:257-279.",,,walking,"Mohr, C.E. 1944. A remarkable salamander migration. Proceedings of the Pennsylvania Academy of Science 18:51-54.",Y,"Mohr, C.E. 1944. A remarkable salamander migration. Proceedings of the Pennsylvania Academy of Science 18:51-54.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Plethodon,glutinosus,Chordata,Amphibia,Caudata,Plethodontidae,unknown,none,AmphibiaWeb,not migratory,AmphibiaWeb,female,910,AnAge,730,AmphiBio,1825,AmphibiaWeb Semlitsch 1980),Micky/Ilona,0-1,"Wells, K. D. and Wells, R. A. 1976. Patterns of movement in a population of the slimy salamander, Plethodon glutinosus, with observations on aggregations.  / Herpetologica 32: 156 -162.",,,,,N,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",,Terrestrial,Animalia,6.5,"Powders, V.N. 1973. Cannibalism by the slimy salamander,搬ethodon glutinosus橮 eastern Tennessee. Journal of Herpetology 7:139䳱140.",omnivore,"Oliver, G.V. 1967. Food habits of the white-throated slimy salamander in central Texas. Transactions of the Oklahoma Junior Academy of Science 1967:500䳱503.",,,walking,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,NA,NA,NA,highland specialist,NA,"Petranka, J. W. (1998). Salamanders of the United States and Canada. Smithsonian Institution Press, Washington and London.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Anolis,roquet,Chordata,Lepidosauria,Squamata,Iguanidae,NA,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Takydromus,hsuehshaner,Chordata,Lepidosauria,Squamata,Lacertidae,males_adults,,,,,,NA,,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Oreochromis,mossambicus,Chordata,Actinopterygii,NA,Cichlidae,juveniles,,,,,female,171,AnAge,,,4015,FishBase,Joanne,,"Oreochromis mossambicus are a euryhaline species and are theoretically capable of traversing salt water/oceanic barriers, moving from one estuary to the next especially during floods (Philippart and Ruwet 1982)",,,,,partial,"Ellender, B. R., Weyl, O. L. F., Shanyengange, M. K., & Cowley, P. D. (2008). Juvenile population dynamics of Oreochromis mossambicus in an intermittently open estuary at the limit of its natural distribution. African Zoology, 43(2), 277–283.","showed a seasonal shift in distribution, occupying all areas of the estuary in summer and, subsequently, being limited to the upper reaches in winter. ",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Carassius,auratus,Chordata,Actinopterygii,NA,Cyprinidae,NA,,,,,female,225,AnAge,,,2555,6–7 years nas.er.usgs.gov,Joanne,100,"high residency (64% of days fish were found at the reciever). Mobile, travelling a mean of 0.30 km (linear river kilometres).day-1. one fish moved 231.3 km over 365 days). ",,,,,yes?,Beatty et al () First evidence of spawning migration by goldfish (Carassius auratus); implications for control of a globally invasive species. ecologgy of freshwater fish,Significant seasonal movement patterns including a clear shift in habitats during its breeding period with most mature individuals being detected in an off-channel wetland during that time. The results of this study strongly suggest that C. auratus undertook a spawning migration into a lentic habitat.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Pimephales,promelas,Chordata,Actinopterygii,NA,Cyprinidae,NA,,,,,female,60,AnAge,,,1096,"Maximum longevity is apparently 2-3 years (Schlosser and Ebel 1989) - Schlosser, I. J. and K. K. Ebel. 1989. Effects of flow regime and cyprinid predation on a headwater stream. Ecol. Monogr. 59(1):41-57.",Joanne,NA,NA,,,,,NA,"During periods of high stream discharge, fathead minnows showed downstream movement in a small Minnesota stream (Schlosser 1995). - Schlosser, I. J. 1995. Dispersal, boundary processes, and trophic-level interactions in streams adjacent to beaver ponds. Ecology 76(3):908-925.",,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Rhinichthys,atratulus,Chordata,Actinopterygii,NA,Cyprinidae,NA,,,,,female,365,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Lepidonotothen,squamifrons,Chordata,Actinopterygii,NA,Nototheniidae,NA,,,,,female,2920,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Etheostoma,blennioides,Chordata,Actinopterygii,NA,Percidae,NA,,,,,female,365,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Gambusia,affinis,Chordata,Actinopterygii,NA,Poeciliidae,NA,,,,,female,90,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Acipenser,brevirostrum,Chordata,Actinopterygii,NA,Acipenseridae,NA,,,,,female,5657,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hypentelium,nigricans,Chordata,Actinopterygii,NA,Catostomidae,NA,,,,,female,1000,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Micropterus,salmoides,Chordata,Actinopterygii,NA,Centrarchidae,NA,,,,,female,1642,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Micropterus,dolomieu,Chordata,Actinopterygii,NA,Centrarchidae,sub-adults,,,,,female,2007,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Dorosoma,cepedianum,Chordata,Actinopterygii,NA,Clupeidae,NA,,,,,female,730,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Sardinops,sagax,Chordata,Actinopterygii,NA,Clupeidae,NA,,,,,female,821,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Cottus,bairdii,Chordata,Actinopterygii,NA,Cottidae,NA,,,,,female,730,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Cottus,carolinae,Chordata,Actinopterygii,NA,Cottidae,NA,,,,,female,730,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Campostoma,anomalum,Chordata,Actinopterygii,NA,Cyprinidae,sub-adults,,,,,female,1095,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Couesius,plumbeus,Chordata,Actinopterygii,NA,Cyprinidae,NA,,,,,female,1095,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ctenopharyngodon,idella,Chordata,Actinopterygii,NA,Cyprinidae,sub-adults,,,,,female,1520,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Cyprinus,carpio,Chordata,Actinopterygii,NA,Cyprinidae,juveniles,,,,,female,1095,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Labeo,rohita,Chordata,Actinopterygii,NA,Cyprinidae,juveniles,,,,,female,1073,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Leuciscus,idus,Chordata,Actinopterygii,NA,Cyprinidae,NA,,,,,female,2007,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Rutilus,rutilus,Chordata,Actinopterygii,NA,Cyprinidae,juveniles,,,,,female,1095,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Scardinius,erythrophthalmus,Chordata,Actinopterygii,NA,Cyprinidae,NA,,,,,female,1460,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Semotilus,atromaculatus,Chordata,Actinopterygii,NA,Cyprinidae,NA,,,,,female,1095,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Esox,lucius,Chordata,Actinopterygii,NA,Esocidae,juveniles,,,,,female,1116,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Esox,masquinongy,Chordata,Actinopterygii,NA,Esocidae,NA,,,,,female,1825,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Gobius,paganellus,Chordata,Actinopterygii,NA,Gobiidae,NA,,,,,female,912,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ameiurus,melas,Chordata,Actinopterygii,Siluriformes,Ictaluridae,NA,,,,,female,730,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ameiurus,natalis,Chordata,Actinopterygii,Siluriformes,Ictaluridae,NA,,,,,female,730,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Dicentrarchus,labrax,Chordata,Actinopterygii,Perciformes,Moronidae,juveniles,,,,,female,1460,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Morone,chrysops,Chordata,Actinopterygii,Perciformes,Moronidae,juveniles,,,,,female,1095,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mugil,cephalus,Chordata,Actinopterygii,Mugiliformes,Mugilidae,NA,,,,,female,730,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Trematomus,bernacchii,Chordata,Actinopterygii,NA,Nototheniidae,NA,,,,,female,2007,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Perca,fluviatilis,Chordata,Actinopterygii,NA,Percidae,juveniles,none,"Le Cren, E. D. (1951). The length-weight relationship and seasonal cycle in gonad weight and condition in the perch (Perca fluviatilis). The Journal of Animal Ecology, 201-219.",,,female,1368,AnAge,,,8030,"Beverton, R.J.H. and S.J. Holt, 1959. A review of the lifespans and mortality rates of fish in nature, and their relation to growth and other physiological characteristics. p. 142-180. In G.E.W. Wolstenholme and M. O'Connor (eds.) CIBA Foundation colloquia on ageing: the lifespan of animals. volume 5. J & A Churchill Ltd, London.",Nacho,1-10,"Bruylants, B., Vandelannoote, A., & Verheyen, R. (1986). The movement pattern and density distribution of perch, Perca fluviatilis L., in a channelized lowland river. Aquaculture Research, 17(1), 49-57.",,,0.05,"Bruylants, B., Vandelannoote, A., & Verheyen, R. (1986). The movement pattern and density distribution of perch, Perca fluviatilis L., in a channelized lowland river. Aquaculture Research, 17(1), 49-57.",yes (depth migrant),"Riede, K., 2004. Global register of migratory species - from global to regional scales. Final Report of the R&D-Projekt 808 05 081. Federal Agency for Nature Conservation, Bonn, Germany. 329 p.",,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Oncorhynchus,kisutch,Chordata,Actinopterygii,NA,Salmonidae,NA,none,"Bustard, D. R., & Narver, D. W. (1975). Aspects of the winter ecology of juvenile coho salmon (Oncorhynchus kisutch) and steelhead trout (Salmo gairdneri). Journal of the Fisheries Board of Canada, 32(5), 667-680.",winter,wikipedia,female,1095,AnAge,,,1496,"Healey, M.C., 1986. Salmonid age at maturity. Canadian Special Publication of Fisheries and Aquatic Sciences 89: 39-52.",Nacho,100+,NA,,,unknown,,yes,"Riede, K., 2004. Global register of migratory species - from global to regional scales. Final Report of the R&D-Projekt 808 05 081. Federal Agency for Nature Conservation, Bonn, Germany. 329 p.",,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Salvelinus,fontinalis,Chordata,Actinopterygii,NA,Salmonidae,sub-adults,none,,winter,wikipedia,female,730,AnAge,,,2920,"Altman, P.L. and D.S. Dittmer, eds. 1962. Growth, Including Reproduction and Morphological Development. Biological Handbooks. Washington, D. C.: Federation of American Societies for Experimental Biology.",Nacho,1-10,"Brook Trout. J Mayhew, ed. Iowa Fish and Fishing. Des Moines, Iowa, USA: Iowa Department of Natural Resources. Accessed November 04, 2004 at http://www.iowadnr.com/fish/iafish/brooktro.html.",,,,,yes,"Riede, K., 2004. Global register of migratory species - from global to regional scales. Final Report of the R&D-Projekt 808 05 081. Federal Agency for Nature Conservation, Bonn, Germany. 329 p.",,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Salvelinus,alpinus,Chordata,Actinopterygii,NA,Salmonidae,juveniles,none,"Mortensen, A., Ugedal, O., & Lund, F. (2007). Seasonal variation in the temperature preference of Arctic charr (Salvelinus alpinus). Journal of Thermal Biology, 32(6), 314-320.",winter,wikipedia,female,3285,AnAge,,,14600,"Quinn, S., 2001. How long do fish live?. In-Fisherman 26(5):15.",Nacho,100+,http://www.arctic.uoguelph.ca/cpl/organisms/fish/fresh/salmon/articcharr.htm,,,unknown,,yes,"Riede, K., 2004. Global register of migratory species - from global to regional scales. Final Report of the R&D-Projekt 808 05 081. Federal Agency for Nature Conservation, Bonn, Germany. 329 p",,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Salvelinus,namaycush,Chordata,Actinopterygii,NA,Salmonidae,NA,none,"Flavelle, Ridgway, Middel, McKinley - Home Range and Habitat Preferences of Adult Lake Trout (Salvelinus namaycush) in Lake
Opeongo, Algonquin Park, Ontario. Algonquin Fisheries Symposium",,,female,4927,AnAge,,,14965,"Sprules, W.M., 1952. The Arctic char of the west coast of Hudson Bay. Journal of Fisheries Research Board Canada 9: 1.",Nacho,0-1,"lake resident, non-migratory",,,0.8 to 10.1,"Flavelle, Ridgway, Middel, McKinley - Home Range and Habitat Preferences of Adult Lake Trout (Salvelinus namaycush) in Lake
Opeongo, Algonquin Park, Ontario. Algonquin Fisheries Symposium",non-migratory,"Scott, W.B. and E.J. Crossman, 1998. Freshwater fishes of Canada. Oakville (Ontario, Canada): Galt House Publications. xx+966 p.",,Freshwater,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Hyla,versicolor,Chordata,Amphibia,Anura,NA,larva,,,,,female,730,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Ambystoma,tigrinum,Chordata,Amphibia,Caudata,NA,larva,,,,,female,1460,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Desmognathus,ochrophaeus,Chordata,Amphibia,Caudata,NA,Adult,,,,,female,1280,AnAge,730,AmphiBio,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Necturus,maculosus,Chordata,Amphibia,Caudata,NA,Adult,,,,,female,2190,AnAge,1825,AmphiBio,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Notophthalmus,viridescens,Chordata,Amphibia,Caudata,NA,Adult,,,,,female,2000,AnAge,,,,,NA,NA,NA,,,,,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Plethodon,cinereus,Chordata,Amphibia,Caudata,NA,Adult,,,non-migratory,,female,730,AnAge,365,AmphiBio,,,NA,NA,NA,,,,,non-migratory,AmphibiaWeb,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Plethodon,jordani,Chordata,Amphibia,Caudata,NA,Adult,,,non-migratory,,female,1825,AnAge,1095,AmphiBio,,,NA,NA,NA,,,,,non-migratory,AmphibiaWeb,,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Tigriopus,californicus,,,,,,none,"although there can be encysting stages to survive dessication, these are not thought to have strong seasonal cycle",none,none,unk,21,"Powlik et al. Crustaceana, 1997",,,180,Willett 2010 [5] Potential fitness tradeoffs for thermal tolerance in the intertidal copepod Tigriopus californicus. Evolution 64: 2521-2534.,Jenn,0-1,"Willet and Ladner, BMC Evol Biol. 2009; 9: 139.",,,0.000001,remain in tide pools,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Atractosteus
",spatula,,,,,,none,,none,,unk,11,floridamuseum.ufl.edu,,,50,floridamuseum.ufl.edu,Jenn,10-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,