genus,species,age_maturity_days_female_reference,age_maturity_days_male_reference,logic_source_for_dispersal_distance,source_for_maximum_body_size,average_body_size_female_reference,average_body_size_male_reference,logic_source_for_season_inactive,source_logic_for_migration_info,logic_source_season_when_away,logic.source_for_Home.range.size,lifespan_days_reference
Hypophthalmichthys,nobilis,"IUCN, 2020","IUCN, 2020","L. M. Peters et al., 2006","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","L. M. Peters et al., 2006;Froese & Pauly, 2000",,"Froese & Pauly, 2000"
Luxilus,chrysocephalus,"Eakins, 2020c","Eakins, 2020c","Lonzarich et al., 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Lonzarich et al., 2000","Simmons & Beckman, 2012"
Luxilus,cornutus,"Wichert & Rapport, 1998","Wichert & Rapport, 1998",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Froese & Pauly, 2000"
Notemigonus,crysoleucas,"Wichert & Rapport, 1998","Wichert & Rapport, 1998",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Meyers et al., 2015;Froese & Pauly, 2000"
Notropis,atherinoides,"Wichert & Rapport, 1998","Wichert & Rapport, 1998",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Huenemann et al., 2015"
Notropis,hudsonius,"NatureServe, 2020;Peer, 1966","NatureServe, 2020;Peer, 1966","Choy et al., 2008","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Happel et al., 2015","Peer, 1966"
Notropis,rubellus,"Wichert & Rapport, 1998","Wichert & Rapport, 1998","IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Froese & Pauly, 2000"
Notropis,stramineus,"Peer, 1966","Peer, 1966","IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Huenemann et al., 2015"
Pimephales,notatus,"NatureServe, 2020","NatureServe, 2020","Jacquemin et al., 2013;Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Meyers et al., 2015;Froese & Pauly, 2000"
Rhinichthys,osculus,"NatureServe, 2020;Peden & Hughes, 1981",,"Robinson et al., 1998","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"NatureServe, 2020"
Siphateles,bicolor,"NatureServe, 2020","NatureServe, 2020",,"Froese & Pauly, 2000",,,,"IUCN, 2020",,,"Finger & May, 2015"
Squalius,cephalus,"IUCN, 2020","IUCN, 2020","Říha et al., 2013;Fredrich et al., 2003","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","Fredrich et al., 2003;Filipović Marijić & Raspor, 2014","Fredrich et al., 2003","IUCN, 2020"
Cyprinodon,bovinus,"Hanna et al., 2015","Hanna et al., 2015",,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","S. E. Kennedy, 1977","IUCN, 2020",,,"NatureServe, 2020"
Cyprinodon,dearborni,"Kristensen, 1970","Kristensen, 1970",,"Froese & Pauly, 2000;Debrot, 2003",,,"Froese & Pauly, 2000","Kristensen, 1970",,,
Cyprinodon,nevadensis,"NatureServe, 2020","NatureServe, 2020","NatureServe, 2020","Froese & Pauly, 2000;Debrot, 2003","Froese & Pauly, 2000;   (Debrot+ A. O. (2003). A review of the freshwater fishes of Curaçao+ with comments on those of Aruba and Bonaire. Caribbean Journal of Science+ 39(1)+ 100-108.)","Froese & Pauly, 2000; Debrot, 2003",,"IUCN, 2020",,,"Gerking & Lee, 1982"
Gobiomorphus,basalis,"IUCN, 2020","IUCN, 2020",,"Froese & Pauly, 2000",,,,"IUCN, 2020",,,"IUCN, 2020"
Gobiomorphus,cotidianus,"IUCN, 2020","IUCN, 2020","Van Den Heuvel et al., 2007;Landman et al., 2010","Froese & Pauly, 2000",,,,"IUCN, 2020","Michel et al., 2008",,"IUCN, 2020"
Fundulus,diaphanus,"Phillips et al., 2007",,"Hoare et al., 2000;IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Phillips et al., 2007"
Fundulus,heteroclitus,"NatureServe, 2020","NatureServe, 2020","Fritz et al., 1975;D. R. Brown et al., 2016","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Skinner et al., 2005;IUCN, 2020","IUCN, 2020",,"Skinner et al., 2005;Hoff, 1985;Lotrich, 1975","Kneib & Stiven, 1978;Froese & Pauly, 2000"
Fundulus,notatus,"NatureServe, 2020","NatureServe, 2020","Alldredge et al., 2011","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","NatureServe, 2020","IUCN, 2020",,"Skinner et al., 2005","Mandrak & Holm, 2001"
Gobiesox,strumosus,"Runyan, 1961",,"Runyan, 1961","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","Saksena & Joseph, 1972",,,
Bathygobius,fuscus,"Kong & Chen, 2013",,"Taru et al., 2002","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","M. Y. Chang et al., 2006",,"Taru et al., 2002","Takegaki et al., 2012"
Bathygobius,ramosus,,,,"Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,,,
Gobiosoma,chiquita,"Stahl, 1975",,"Clobert et al., 1998","Froese & Pauly, 2000",,,,"Stahl, 1975",,,
Haemulon,flavolineatum,"IUCN, 2020;Munro, 1983","IUCN, 2020;Munro, 1983","IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Cocheret De La Morinière et al., 2002",,"Munro, 1983","McDougall et al., 2019"
Ameiurus,catus,"NatureServe, 2020","NatureServe, 2020","Hayes et al., 2017","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"De Magalhães & Costa, 2009"
Ameiurus,nebulosus,"NatureServe, 2020","NatureServe, 2020","Sakaris et al., 2005","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","NatureServe, 2020;Froese & Pauly, 2000","IUCN, 2020",,"Sakaris et al., 2005","NatureServe, 2020;Froese & Pauly, 2000"
Ictalurus,punctatus,"Froese & Pauly, 2000","Froese & Pauly, 2000","Welker, 1967;NatureServe, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Cooke & McKinley, 1999","IUCN, 2020",,"Meyers et al., 2015","Meyers et al., 2015;Froese & Pauly, 2000"
Kuhlia,sandvicensis,,,"Feutry et al., 2012","Froese & Pauly, 2000",,,"Froese & Pauly, 2000","Poepoe et al., 2003","Poepoe et al., 2003",,
Morone,saxatilis,"IUCN, 2020","IUCN, 2020","Secor et al., 1995;Ng et al., 2007;Eldridge, 1988","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Cooke & McKinley, 1999","IUCN, 2020","Eldridge, 1988;IUCN, 2020;Meyers et al., 2015","Ng et al., 2007","Meyers et al., 2015;Froese & Pauly, 2000"
Chelon,subviridis,"Al‐Daham & Wahab, 1991","Al‐Daham & Wahab, 1991","Saha & Kabir, 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"C. W. Chang & Iizuka, 2012","Chung et al., 2017",,"Al‐Daham & Wahab, 1991"
Gobionotothen,gibberifrons,"IUCN, 2020",,"Matschiner et al., 2009","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","North, 2001","Marschoff et al., 2012",,,"Marschoff et al., 2012"
Notothenia,coriiceps,"Calì et al., 2017","Calì et al., 2017","Kellermann, 1991","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","H. A. Campbell et al., 2008",,,"Zamzow et al., 2011","Calì et al., 2017"
Pagothenia,borchgrevinki,"Pankhurst, 1990","Pankhurst, 1990",,"Froese & Pauly, 2000",,,"North, 2001",,,,"El-Sayed, 1994"
Trematomus,hansoni,"M. La Mesa & Vacchi, 2001","M. La Mesa & Vacchi, 2001","A. P. Van de Putte et al., 2012","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Somero & DeVries, 1967",,,"M. La Mesa & Vacchi, 2001"
Hypomesus,transpacificus,"Swanson et al., 2000","Swanson et al., 2000","Moyle et al., 1991;Sommer et al., 2011","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000","Swee J. Teh, 2007","Sommer et al., 2011","Sommer et al., 2011","Latour, 2012","Froese & Pauly, 2000;NatureServe, 2020"
Osmerus,mordax,"Murawski & Cole, 1978","Murawski & Cole, 1978","Bradbury et al., 2008;Enterline, 2013;Froese & Pauly, 2000","Froese & Pauly, 2000",,,,"IUCN, 2020","Froese & Pauly, 2000;IUCN, 2020;Jilek et al., 1979",,"Froese & Pauly, 2000"
Etheostoma,caeruleum,"Marjan et al., 2017","Marjan et al., 2017","Hicks & Servos, 2017;Sommer et al., 2011","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Hicks & Servos, 2017","Froese & Pauly, 2000"
Etheostoma,flabellare,"NatureServe, 2020","NatureServe, 2020","Klein, 2001;Lngersoll et al., 1984;IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Lngersoll et al., 1984","Froese & Pauly, 2000"
Etheostoma,nigrum,"NatureServe, 2020","NatureServe, 2020","Lngersoll et al., 1984;Klein, 2001;IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Lngersoll et al., 1984","Froese & Pauly, 2000"
Etheostoma,spectabile,"NatureServe, 2020","NatureServe, 2020","Lngersoll et al., 1984;IUCN, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Lngersoll et al., 1984","R. J. Edwards, 1977"
Gymnocephalus,cernua,"IUCN, 2020","IUCN, 2020","Gutsch & Hoffman, 2016","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Gutsch & Hoffman, 2016","Gutsch & Hoffman, 2016;Popova et al., 1998",,"NatureServe, 2020"
Perca,flavescens,"NatureServe, 2020","NatureServe, 2020","Glover et al., 2008;Brodnik et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,"Glover et al., 2008","Froese & Pauly, 2000"
Sander,vitreus,"NatureServe, 2020","NatureServe, 2020","Hayden et al., 2018;Kirby et al., 2017;Backhouse-James & Docker, 2012; NatureServe, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","NatureServe, 2020","Kirby et al., 2017","Froese & Pauly, 2000"
Heterandria,formosa,"Ala-Honkola et al., 2011","Ala-Honkola et al., 2011","Baer, 1998;Leips et al., 2013","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Soucy & Travis, 2003"
Abudefduf,saxatilis,"Bessa et al., 2007","Bessa et al., 2007","Wellington & Victor, 1989","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Sergeant Major (Abudefduf saxatilis), n.d."
Coregonus,artedi,"Meyers et al., 2015","Meyers et al., 2015","E. M. George et al., 2018;Oyadomari & Auer, 2008;Meyers et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","Meyers et al., 2015;Morin et al., 1981",,"Meyers et al., 2015"
Coregonus,clupeaformis,"NatureServe, 2020","NatureServe, 2020","Ebener & Copes, 1985;Meyers et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"NatureServe, 2020",,"O. H. Smith & Van Oosten, 1940;Rennie et al., 2012","Meyers et al., 2015"
Oncorhynchus,mykiss,"Froese & Pauly, 2000","Froese & Pauly, 2000","Bridger et al., 2001;NatureServe, 2020","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"NatureServe, 2020","NatureServe, 2020","Blanchfield et al., 2009","Froese & Pauly, 2000;NatureServe, 2020"
Salmo,trutta,"Froese & Pauly, 2000","Froese & Pauly, 2000","Jensen et al., 2015;Berg & Berg, 1987","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","Saraniemi et al., 2008;IUCN, 2020","Bridcut & Giller, 1993","NatureServe, 2020"
Thymallus,arcticus,"NatureServe, 2020","NatureServe, 2020","Buzby & Deegan, 2000;Meyers et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020","“Arctic grayling,” n.d.;Meyers et al., 2015;IUCN, 2020","Nykänen et al., 2004","Froese & Pauly, 2000;NatureServe, 2020"
Scatophagus,argus,"Gupta, 2016","Gupta, 2016","Cai et al., 2010","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Wongchinawit & Paphavasit, 2009",,,"Green Scat (Scatophagus argus), n.d."
Aplodinotus,grunniens,"NatureServe, 2020","NatureServe, 2020","NatureServe, 2020;Meyers et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Froese & Pauly, 2000;NatureServe, 2020"
Diplodus,vulgaris,"IUCN, 2020","IUCN, 2020","Jug-Dujaković & Glamuzina, 1988","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Gonçalves & Erzini, 2000;Abecasis et al., 2009",,"Abecasis et al., 2009","IUCN, 2020"
Terapon,jarbua,"Fortaleza et al., 2019","Fortaleza et al., 2019","Liu et al., 2015","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Froese & Pauly, 2000","Le Thi Nhu Phuong & Nguyen Quang Linh, 2017;Froese & Pauly, 2000",,"Targetfish (Terapon jarbua), n.d."
Sphoeroides,annulatus,,,"Komar et al., 2004","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Duncan et al., 2003",,,"Bullseye Puffer (Sphoeroides annulatus), n.d."
Retropinna,retropinna,"IUCN, 2020;McDowall & Whitaker, 1975","IUCN, 2020;McDowall & Whitaker, 1975","C. J. McDowall, 2016","Froese & Pauly, 2000",,,,"IUCN, 2020","E. B. Taylor & McPhail, 1986;IUCN, 2020",,"IUCN, 2020"
Gasterosteus,aculeatus,"IUCN, 2020","IUCN, 2020","Ward et al., 2013;Saimoto, 1993;E. B. Taylor & McPhail, 1986","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"IUCN, 2020",,,"Froese & Pauly, 2000"
Zoarces,viviparus,"Froese & Pauly, 2000",,"Bergek et al., 2012;Simonsen & Strand, 2010","Froese & Pauly, 2000","Froese & Pauly, 2000","Froese & Pauly, 2000",,"Simonsen & Strand, 2010",,"Simonsen & Strand, 2010","IUCN, 2020"
Oncorhynchus,clarkii,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Losee et al., 2018","Froese & Pauly, 2000",,,,"Crocker, 1995","Crocker, 1995","Cutthroat trout, n.d.;Losee et al., 2018","Meyers et al., 2015;Froese & Pauly, 2000"
Anaxyrus,boreas,"Oliveira et al., 2017","Oliveira et al., 2017","Wind & Dupuis, 2002","Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"Wind & Dupuis, 2002","Oliveira et al., 2017"
Anaxyrus,cognatus,"Oliveira et al., 2017","Oliveira et al., 2017","AmphibiaWeb, 2020","Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"AmphibiaWeb, 2020","AmphibiaWeb, 2020;Oliveira et al., 2017"
Anaxyrus,woodhousii,"Oliveira et al., 2017","Oliveira et al., 2017","NatureServe, 2020;AmphibiaWeb, 2020","Oliveira et al., 2017",,,"NatureServe, 2020",,,"AmphibiaWeb, 2020","Oliveira et al., 2017"
Ascaphus,truei,"Oliveira et al., 2017","Oliveira et al., 2017","AmphibiaWeb, 2020","Oliveira et al., 2017",,,"Meyers et al., 2015",,,"AmphibiaWeb, 2020","AmphibiaWeb, 2020"
Buergeria,japonica,"Lue & Liou, 2010","Lue & Liou, 2010","Haramura, 2011","Oliveira et al., 2017","Y. H. Chang et al., 2017","Y. H. Chang et al., 2017",,,,,"Lue & Liou, 2010"
Bufo,boreas,"Oliveira et al., 2017","Oliveira et al., 2017","Wind & Dupuis, 2002","Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"Wind & Dupuis, 2002","Oliveira et al., 2017"
Crinia,parainsignifera,,,"Bishop-Taylor et al., 2015","Oliveira et al., 2017",,,"Wassens et al., 2013;Chambers, 2008",,,,
Crinia,parinsignifera,,,"Bishop-Taylor et al., 2015","Oliveira et al., 2017",,,"Wassens et al., 2013;Chambers, 2008",,,,
Crinia,signifera,"Lauck, 2005a","Lauck, 2005a","Lauck, 2005b","S. Baker & Lauck, 2006"," S. Baker & Lauck, 2006","S. Baker & Lauck, 2006","S. Baker & Lauck, 2006",,,,"Lauck, 2005b"
Crinia,victoriana,,,,"Oliveira et al., 2017",,,,,,,
Cyclorana,brevipes,https://web.archive.org/web/20061002035356/http://www.frogsaustralia.net.au/frogs/display.cfm?frog_id=119,,,https://web.archive.org/web/20061002035356/http://www.frogsaustralia.net.au/frogs/display.cfm?frog_id=119,,,"Short-footed frog, n.d.",,,,
Desmognathus,fuscus,"AmphibiaWeb, 2020","AmphibiaWeb, 2020","Barthalmus & Bellis, 1972;AmphibiaWeb, 2020","Oliveira et al., 2017;R. L. Jones, 1986","Meyers et al., 2015","Meyers et al., 2015","AmphibiaWeb, 2020",,"AmphibiaWeb, 2020","Meyers et al., 2015","Oliveira et al., 2017"
Desmognathus,monticola,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Brandon & Huheey, 1971","AmphibiaWeb, 2020",,,"AmphibiaWeb, 2020",,,"AmphibiaWeb, 2020","AmphibiaWeb, 2020"
Desmognathus,ochrophaeus,"Oliveira et al., 2017","Oliveira et al., 2017","AmphibiaWeb, 2020","Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"AmphibiaWeb, 2020","Oliveira et al., 2017"
Desmognathus,quadramaculatus,"Oliveira et al., 2017","Oliveira et al., 2017","Cecala & Maerz, 2015","Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"Camp & Lee, 1996","Oliveira et al., 2017"
Eleutherodactylus,coqui,"Oliveira et al., 2017","Oliveira et al., 2017","Höbel, 2008","Oliveira et al., 2017",,,"Beachy et al., 2011",,,"AmphibiaWeb, 2020","AmphibiaWeb, 2020;Oliveira et al., 2017"
Eleutherodactylus,portoricensis,"AmphibiaWeb, 2020",,"Longo & Burrowes, 2010","Oliveira et al., 2017","AmphibiaWeb, 2020","AmphibiaWeb, 2020","Mowbray, n.d.-a",,,,
Eurycea,bislineata,"Oliveira et al., 2017","Oliveira et al., 2017","J. E. Johnson & Goldberg, 1975","Oliveira et al., 2017",,,"Meyers et al., 2015;Ashton & Ashton, 1978",,,"Ashton & Ashton, 1978","Caudata - Max Longevity, n.d."
Eurycea,longicauda,"Oliveira et al., 2017","Oliveira et al., 2017","Mohr, 1944","Oliveira et al., 2017",,,"AmphibiaWeb, 2020",,,"Meyers et al., 2015","Caudata - Max Longevity, n.d.;Meyers et al., 2015"
Eurycea,lucifuga,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","Hutchison, 1958","Oliveira et al., 2017;D. E. Scott & Petranka, 1999",,,"AmphibiaWeb, 2020",,,"AmphibiaWeb, 2020","Oliveira et al., 2017"
Geocrinia,victoriana,,,,"Oliveira et al., 2017",,,,,,,
Hyla,alpina,,,,"“Litoria verreauxi,” 2020",,,,,,,
Hyla,aurea,"Oliveira et al., 2017","Oliveira et al., 2017","A. W. White & Pyke, 2008","Oliveira et al., 2017",,,"Green and golden bell frog, n.d.;Department of Environment and Conservation NSW, 2005",,,,"Oliveira et al., 2017"
Hyla,caerulea,"Meyers et al., 2015","Meyers et al., 2015","Ocock et al., 2014","Oliveira et al., 2017",,,"Meyers et al., 2015",,,"Ocock et al., 2014","Oliveira et al., 2017"
Hyla,chloris,"Oliveira et al., 2017","Oliveira et al., 2017",,"Oliveira et al., 2017",,,,,,,"Oliveira et al., 2017"
Hyla,ewingi,,,"Kearney et al., 2015","Oliveira et al., 2017",,,"Bazin et al., 2007",,,,
Hyla,glauerti,,"Upton et al., 2018","Stockwell et al., 2015;Simkins et al., 2011","Eastern dwarf tree frog, n.d.",,,"Dziminski & Alford, 2005",,,,
Hyla,gracilenta,"AmphibiaWeb, 2020","AmphibiaWeb, 2020",,"Vanderduys, 2019",,,"Dziminski & Alford, 2005",,,,
Hyla,lesueuri,"Oliveira et al., 2017","Oliveira et al., 2017","Rowley & Alford, 2007","Oliveira et al., 2017",,,,,,"Rowley & Alford, 2007","Oliveira et al., 2017"
Hyla,peroni,,,"IUCN, 2020;Parris, 2006","Oliveira et al., 2017",,,"Withers & Hillman, 2001",,,,
Hyla,phyllochroa,,,,"Oliveira et al., 2017",,,,,,,
Hyla,rothii,"Roth's tree frog, n.d.","Roth's tree frog, n.d.","Department of the Environment, 2020","Oliveira et al., 2017",,,"Dziminski & Alford, 2005",,,,
Hyla,rubella,"Wassens & Maher, 2011","Wassens & Maher, 2011",,"Oliveira et al., 2017",,,"Dziminski & Alford, 2005;AmphibiaWeb, 2020",,,,
Hyla,versicolor,"De Magalhães & Costa, 2009","De Magalhães & Costa, 2009","AmphibiaWeb, 2020","Meyers et al., 2015",,,"Meyers et al., 2015",,,"Roble, 1979","AmphibiaWeb, 2020"
Hyperolius,viridiflavus,"Meyers et al., 2015","Meyers et al., 2015",,"Oliveira et al., 2017",,,"Meyers et al., 2015",,,"Meyers et al., 2015","Meyers et al., 2015"
